 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, rowcost
Bb phrygian (2b), 3, 4, 4, 1, 4, 4, 4, 5, 4, 3, 4, 3, 2, 3, 4, 5, 3, 4, 4, 1, 2, 5, 0, 1, 2, 5, 4, 1, 6, 4, 2, 6, 2, 0, 2,  , 7, 4, 3, 3, 2, 2, 2, 4, 4, 3, 2, 5, 4, 4, 2,  , 4, 2, 3, 3, 5, 4, 1,  , 5, 4, 8, 3, 7, 5, 1,  , 7, 4, 4, 4, 4, 0, 2, 5, 3, 4, 2, 3, 1, 3, 4, 1, 2, 4, 0,  , 5, 4, 3, 5, 5, 3, 4, 2, 1, 306
D phrygian (2#), 4, 5, 3, 2, 5, 5, 5, 4, 4, 2, 4, 4, 2, 2, 5, 4, 4, 5, 3, 2, 3, 5, 1, 1, 2, 5, 5, 2, 5, 5, 3, 7, 2, 0, 3,  , 8, 3, 3, 2, 3, 1, 2, 4, 3, 4, 3, 6, 4, 3, 3,  , 5, 3, 3, 2, 6, 4, 2,  , 6, 5, 9, 4, 8, 4, 2,  , 8, 3, 3, 3, 5, 0, 2, 6, 2, 5, 2, 2, 1, 4, 3, 1, 3, 4, 1,  , 6, 4, 4, 6, 4, 4, 4, 2, 1, 331
Bb lydian (2b), 3, 4, 4, 2, 5, 6, 4, 5, 3, 5, 5, 5, 4, 3, 5, 5, 3, 4, 4, 1, 3, 5, 1, 0, 6, 6, 3, 4, 5, 4, 3, 6, 2, 0, 2,  , 7, 5, 2, 3, 5, 5, 1, 3, 4, 3, 4, 6, 4, 3, 2,  , 4, 4, 3, 6, 4, 3, 3,  , 4, 3, 3, 4, 3, 5, 3,  , 7, 5, 4, 6, 4, 1, 2, 5, 4, 4, 3, 5, 1, 3, 4, 0, 3, 2, 2,  , 5, 3, 3, 5, 5, 6, 4, 2, 1, 338
D lydian (2#), 4, 5, 5, 2, 6, 8, 4, 6, 4, 4, 4, 5, 4, 3, 6, 5, 4, 5, 5, 1, 3, 7, 1, 0, 3, 6, 6, 5, 6, 6, 4, 9, 2, 0, 2,  , 9, 6, 3, 3, 5, 5, 2, 4, 5, 3, 4, 6, 5, 4, 2,  , 5, 5, 4, 6, 5, 4, 3,  , 6, 5, 8, 6, 8, 6, 3,  , 9, 6, 4, 7, 6, 1, 2, 6, 4, 6, 3, 4, 1, 3, 4, 0, 3, 3, 2,  , 6, 4, 3, 6, 6, 6, 4, 2, 1, 402
Bb mixolydian (2b), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
D mixolydian (2#), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
Bb aeolian (2b), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
D aeolian (2#), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
Bb locrian (2b), 1, 3, 4, 0, 4, 3, 3, 4, 3, 5, 5, 4, 3, 2, 4, 4, 1, 3, 4, 0, 1, 5, 0, 0, 5, 5, 2, 1, 5, 3, 2, 4, 2, 0, 1,  , 6, 4, 2, 3, 3, 3, 1, 3, 4, 2, 3, 5, 3, 3, 1,  , 2, 2, 3, 4, 3, 2, 2,  , 2, 1, 2, 2, 1, 5, 2,  , 6, 4, 3, 4, 3, 0, 1, 3, 4, 3, 3, 4, 1, 2, 4, 0, 1, 2, 1,  , 3, 2, 2, 3, 5, 4, 3, 2, 1, 249
D locrian (2#), 2, 1, 3, 1, 2, 5, 1, 4, 1, 4, 3, 3, 3, 3, 2, 4, 2, 1, 3, 0, 1, 3, 0, 0, 5, 5, 1, 3, 3, 2, 1, 5, 1, 0, 0,  , 4, 4, 1, 1, 4, 5, 1, 1, 3, 1, 2, 3, 3, 2, 0,  , 2, 2, 2, 6, 1, 2, 1,  , 2, 2, 1, 2, 2, 3, 1,  , 4, 4, 3, 6, 2, 1, 1, 3, 3, 2, 2, 5, 0, 1, 2, 0, 1, 1, 1,  , 3, 2, 1, 3, 3, 4, 3, 0, 0, 203
Eb major (3b), 1, 2, 3, 0, 3, 4, 2, 2, 2, 5, 4, 3, 4, 1, 3, 3, 1, 2, 3, 0, 0, 4, 0, 0, 6, 4, 1, 2, 3, 2, 2, 4, 2, 0, 0,  , 5, 2, 2, 2, 3, 4, 1, 2, 3, 1, 2, 3, 2, 2, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 2, 4, 5, 3, 0, 2, 2, 3, 2, 2, 3, 1, 2, 2, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 203
A major (3#), 2, 5, 3, 1, 6, 6, 4, 4, 4, 4, 4, 5, 3, 1, 6, 3, 2, 5, 3, 1, 2, 6, 1, 0, 2, 6, 3, 2, 5, 5, 3, 6, 2, 0, 2,  , 8, 3, 3, 2, 4, 2, 2, 4, 3, 3, 4, 6, 4, 2, 2,  , 4, 3, 4, 3, 4, 3, 3,  , 3, 2, 3, 3, 2, 5, 3,  , 8, 3, 2, 4, 6, 0, 1, 5, 3, 4, 3, 2, 1, 3, 3, 0, 2, 3, 2,  , 4, 3, 3, 4, 5, 4, 3, 2, 1, 298
C minor (3b), 2, 2, 5, 0, 3, 5, 3, 3, 2, 4, 4, 5, 5, 2, 3, 2, 3, 2, 5, 0, 0, 5, 0, 0, 4, 4, 4, 3, 4, 3, 3, 5, 3, 1, 1,  , 5, 4, 2, 2, 4, 4, 1, 2, 5, 1, 1, 4, 4, 4, 1,  , 1, 3, 2, 4, 4, 1, 1,  , 6, 4, 8, 6, 6, 4, 2,  , 5, 4, 5, 5, 4, 0, 3, 2, 5, 5, 3, 2, 2, 3, 4, 0, 0, 1, 1,  , 6, 1, 1, 6, 4, 2, 5, 2, 0, 277
F# minor (3#), 3, 5, 3, 2, 5, 5, 3, 4, 3, 1, 5, 4, 4, 1, 5, 2, 3, 5, 3, 1, 3, 5, 1, 0, 3, 4, 6, 4, 5, 6, 3, 7, 1, 0, 3,  , 8, 6, 2, 1, 3, 1, 2, 4, 3, 3, 4, 4, 3, 2, 3,  , 4, 4, 4, 2, 4, 3, 4,  , 4, 4, 7, 4, 7, 4, 4,  , 8, 6, 1, 3, 4, 0, 0, 4, 2, 7, 3, 3, 0, 2, 4, 1, 2, 3, 2,  , 4, 3, 3, 4, 4, 6, 2, 1, 1, 309
C minor mel (3b), 2, 2, 3, 1, 3, 4, 2, 5, 2, 4, 4, 3, 2, 3, 3, 5, 2, 2, 3, 0, 2, 4, 0, 0, 4, 6, 2, 2, 4, 3, 1, 5, 1, 0, 1,  , 5, 5, 1, 2, 4, 4, 1, 2, 3, 2, 3, 4, 4, 2, 1,  , 3, 3, 3, 5, 2, 3, 2,  , 1, 1, 1, 1, 2, 4, 2,  , 5, 5, 2, 5, 2, 1, 0, 4, 3, 3, 3, 5, 0, 1, 3, 0, 2, 2, 1,  , 2, 3, 2, 2, 4, 5, 2, 1, 1, 235
F# minor mel (3#), 4, 3, 2, 3, 2, 3, 4, 3, 2, 1, 4, 1, 6, 2, 2, 3, 5, 3, 2, 1, 5, 4, 0, 1, 5, 4, 4, 3, 3, 3, 1, 4, 1, 1, 4,  , 3, 5, 1, 1, 3, 1, 1, 3, 2, 3, 1, 3, 3, 2, 4,  , 4, 4, 2, 1, 5, 4, 2,  , 5, 4, 8, 3, 8, 4, 3,  , 3, 5, 3, 2, 2, 1, 2, 4, 1, 6, 2, 2, 1, 2, 4, 2, 3, 3, 0,  , 5, 4, 3, 5, 4, 4, 4, 2, 1, 272
Eb major blues (3b), 1, 3, 4, 0, 4, 3, 3, 4, 3, 5, 5, 4, 3, 2, 4, 4, 1, 3, 4, 0, 1, 5, 0, 0, 5, 5, 2, 1, 5, 3, 2, 4, 2, 0, 1,  , 6, 4, 2, 3, 3, 3, 1, 3, 4, 2, 3, 5, 3, 3, 1,  , 2, 2, 3, 4, 3, 2, 2,  , 2, 1, 2, 2, 1, 5, 2,  , 6, 4, 3, 4, 3, 0, 1, 3, 4, 3, 3, 4, 1, 2, 4, 0, 1, 2, 1,  , 3, 2, 2, 3, 5, 4, 3, 2, 1, 249
A major blues (3#), 3, 4, 4, 1, 4, 4, 4, 5, 4, 3, 4, 3, 2, 3, 4, 5, 3, 4, 4, 1, 2, 5, 0, 1, 2, 5, 4, 1, 6, 4, 2, 6, 2, 0, 2,  , 7, 4, 3, 3, 2, 2, 2, 4, 4, 3, 2, 5, 4, 4, 2,  , 4, 2, 3, 3, 5, 4, 1,  , 5, 4, 8, 3, 7, 5, 1,  , 7, 4, 4, 4, 4, 0, 2, 5, 3, 4, 2, 3, 1, 3, 4, 1, 2, 4, 0,  , 5, 4, 3, 5, 5, 3, 4, 2, 1, 306
C minor blues (3b), 4, 5, 3, 2, 5, 5, 5, 4, 4, 2, 4, 4, 2, 2, 5, 4, 4, 5, 3, 2, 3, 5, 1, 1, 2, 5, 5, 2, 5, 5, 3, 7, 2, 0, 3,  , 8, 3, 3, 2, 3, 1, 2, 4, 3, 4, 3, 6, 4, 3, 3,  , 5, 3, 3, 2, 6, 4, 2,  , 6, 5, 9, 4, 8, 4, 2,  , 8, 3, 3, 3, 5, 0, 2, 6, 2, 5, 2, 2, 1, 4, 3, 1, 3, 4, 1,  , 6, 4, 4, 6, 4, 4, 4, 2, 1, 331
F# minor blues (3#), 3, 4, 4, 2, 5, 6, 4, 5, 3, 5, 5, 5, 4, 3, 5, 5, 3, 4, 4, 1, 3, 5, 1, 0, 6, 6, 3, 4, 5, 4, 3, 6, 2, 0, 2,  , 7, 5, 2, 3, 5, 5, 1, 3, 4, 3, 4, 6, 4, 3, 2,  , 4, 4, 3, 6, 4, 3, 3,  , 4, 3, 3, 4, 3, 5, 3,  , 7, 5, 4, 6, 4, 1, 2, 5, 4, 4, 3, 5, 1, 3, 4, 0, 3, 2, 2,  , 5, 3, 3, 5, 5, 6, 4, 2, 1, 338
Eb dorian (3b), 4, 5, 5, 2, 6, 8, 4, 6, 4, 4, 4, 5, 4, 3, 6, 5, 4, 5, 5, 1, 3, 7, 1, 0, 3, 6, 6, 5, 6, 6, 4, 9, 2, 0, 2,  , 9, 6, 3, 3, 5, 5, 2, 4, 5, 3, 4, 6, 5, 4, 2,  , 5, 5, 4, 6, 5, 4, 3,  , 6, 5, 8, 6, 8, 6, 3,  , 9, 6, 4, 7, 6, 1, 2, 6, 4, 6, 3, 4, 1, 3, 4, 0, 3, 3, 2,  , 6, 4, 3, 6, 6, 6, 4, 2, 1, 402
A dorian (3#), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
Eb phrygian (3b), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
A phrygian (3#), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
Eb lydian (3b), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
A lydian (3#), 1, 3, 4, 0, 4, 3, 3, 4, 3, 5, 5, 4, 3, 2, 4, 4, 1, 3, 4, 0, 1, 5, 0, 0, 5, 5, 2, 1, 5, 3, 2, 4, 2, 0, 1,  , 6, 4, 2, 3, 3, 3, 1, 3, 4, 2, 3, 5, 3, 3, 1,  , 2, 2, 3, 4, 3, 2, 2,  , 2, 1, 2, 2, 1, 5, 2,  , 6, 4, 3, 4, 3, 0, 1, 3, 4, 3, 3, 4, 1, 2, 4, 0, 1, 2, 1,  , 3, 2, 2, 3, 5, 4, 3, 2, 1, 249
Eb mixolydian (3b), 2, 1, 3, 1, 2, 5, 1, 4, 1, 4, 3, 3, 3, 3, 2, 4, 2, 1, 3, 0, 1, 3, 0, 0, 5, 5, 1, 3, 3, 2, 1, 5, 1, 0, 0,  , 4, 4, 1, 1, 4, 5, 1, 1, 3, 1, 2, 3, 3, 2, 0,  , 2, 2, 2, 6, 1, 2, 1,  , 2, 2, 1, 2, 2, 3, 1,  , 4, 4, 3, 6, 2, 1, 1, 3, 3, 2, 2, 5, 0, 1, 2, 0, 1, 1, 1,  , 3, 2, 1, 3, 3, 4, 3, 0, 0, 203
A mixolydian (3#), 1, 2, 3, 0, 3, 4, 2, 2, 2, 5, 4, 3, 4, 1, 3, 3, 1, 2, 3, 0, 0, 4, 0, 0, 6, 4, 1, 2, 3, 2, 2, 4, 2, 0, 0,  , 5, 2, 2, 2, 3, 4, 1, 2, 3, 1, 2, 3, 2, 2, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 2, 4, 5, 3, 0, 2, 2, 3, 2, 2, 3, 1, 2, 2, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 203
Eb aeolian (3b), 2, 5, 3, 1, 6, 6, 4, 4, 4, 4, 4, 5, 3, 1, 6, 3, 2, 5, 3, 1, 2, 6, 1, 0, 2, 6, 3, 2, 5, 5, 3, 6, 2, 0, 2,  , 8, 3, 3, 2, 4, 2, 2, 4, 3, 3, 4, 6, 4, 2, 2,  , 4, 3, 4, 3, 4, 3, 3,  , 3, 2, 3, 3, 2, 5, 3,  , 8, 3, 2, 4, 6, 0, 1, 5, 3, 4, 3, 2, 1, 3, 3, 0, 2, 3, 2,  , 4, 3, 3, 4, 5, 4, 3, 2, 1, 298
A aeolian (3#), 2, 2, 5, 0, 3, 5, 3, 3, 2, 4, 4, 5, 5, 2, 3, 2, 3, 2, 5, 0, 0, 5, 0, 0, 4, 4, 4, 3, 4, 3, 3, 5, 3, 1, 1,  , 5, 4, 2, 2, 4, 4, 1, 2, 5, 1, 1, 4, 4, 4, 1,  , 1, 3, 2, 4, 4, 1, 1,  , 6, 4, 8, 6, 6, 4, 2,  , 5, 4, 5, 5, 4, 0, 3, 2, 5, 5, 3, 2, 2, 3, 4, 0, 0, 1, 1,  , 6, 1, 1, 6, 4, 2, 5, 2, 0, 277
Eb locrian (3b), 3, 4, 4, 1, 4, 4, 4, 5, 4, 3, 4, 3, 2, 3, 4, 5, 3, 4, 4, 1, 2, 5, 0, 1, 2, 5, 4, 1, 6, 4, 2, 6, 2, 0, 2,  , 7, 4, 3, 3, 2, 2, 2, 4, 4, 3, 2, 5, 4, 4, 2,  , 4, 2, 3, 3, 5, 4, 1,  , 5, 4, 8, 3, 7, 5, 1,  , 7, 4, 4, 4, 4, 0, 2, 5, 3, 4, 2, 3, 1, 3, 4, 1, 2, 4, 0,  , 5, 4, 3, 5, 5, 3, 4, 2, 1, 306
A locrian (3#), 4, 5, 3, 2, 5, 5, 5, 4, 4, 2, 4, 4, 2, 2, 5, 4, 4, 5, 3, 2, 3, 5, 1, 1, 2, 5, 5, 2, 5, 5, 3, 7, 2, 0, 3,  , 8, 3, 3, 2, 3, 1, 2, 4, 3, 4, 3, 6, 4, 3, 3,  , 5, 3, 3, 2, 6, 4, 2,  , 6, 5, 9, 4, 8, 4, 2,  , 8, 3, 3, 3, 5, 0, 2, 6, 2, 5, 2, 2, 1, 4, 3, 1, 3, 4, 1,  , 6, 4, 4, 6, 4, 4, 4, 2, 1, 331
Ab major (4b), 3, 4, 4, 2, 5, 6, 4, 5, 3, 5, 5, 5, 4, 3, 5, 5, 3, 4, 4, 1, 3, 5, 1, 0, 6, 6, 3, 4, 5, 4, 3, 6, 2, 0, 2,  , 7, 5, 2, 3, 5, 5, 1, 3, 4, 3, 4, 6, 4, 3, 2,  , 4, 4, 3, 6, 4, 3, 3,  , 4, 3, 3, 4, 3, 5, 3,  , 7, 5, 4, 6, 4, 1, 2, 5, 4, 4, 3, 5, 1, 3, 4, 0, 3, 2, 2,  , 5, 3, 3, 5, 5, 6, 4, 2, 1, 338
E major (4#), 4, 5, 5, 2, 6, 8, 4, 6, 4, 4, 4, 5, 4, 3, 6, 5, 4, 5, 5, 1, 3, 7, 1, 0, 3, 6, 6, 5, 6, 6, 4, 9, 2, 0, 2,  , 9, 6, 3, 3, 5, 5, 2, 4, 5, 3, 4, 6, 5, 4, 2,  , 5, 5, 4, 6, 5, 4, 3,  , 6, 5, 8, 6, 8, 6, 3,  , 9, 6, 4, 7, 6, 1, 2, 6, 4, 6, 3, 4, 1, 3, 4, 0, 3, 3, 2,  , 6, 4, 3, 6, 6, 6, 4, 2, 1, 402
F minor (4b), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
C# minor (4#), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
F minor mel (4b), 2, 4, 3, 1, 5, 4, 4, 3, 3, 4, 5, 5, 3, 1, 5, 3, 2, 4, 3, 1, 2, 5, 1, 0, 5, 5, 3, 2, 4, 4, 3, 5, 2, 0, 2,  , 7, 3, 2, 2, 4, 2, 1, 3, 3, 3, 4, 6, 3, 2, 2,  , 3, 3, 3, 3, 4, 2, 3,  , 3, 2, 3, 3, 2, 4, 3,  , 7, 3, 2, 3, 4, 0, 1, 4, 3, 4, 3, 3, 1, 3, 3, 0, 2, 2, 2,  , 4, 2, 3, 4, 4, 5, 3, 2, 1, 274
C# minor mel (4#), 1, 2, 4, 0, 3, 4, 2, 3, 2, 5, 4, 4, 4, 2, 3, 3, 1, 2, 4, 0, 0, 4, 0, 0, 6, 4, 1, 2, 4, 2, 2, 4, 2, 0, 0,  , 5, 3, 2, 2, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 3, 4, 5, 3, 0, 2, 2, 4, 2, 2, 4, 1, 2, 3, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 217
Ab major blues (4b), 1, 3, 4, 0, 4, 3, 3, 4, 3, 5, 5, 4, 3, 2, 4, 4, 1, 3, 4, 0, 1, 5, 0, 0, 5, 5, 2, 1, 5, 3, 2, 4, 2, 0, 1,  , 6, 4, 2, 3, 3, 3, 1, 3, 4, 2, 3, 5, 3, 3, 1,  , 2, 2, 3, 4, 3, 2, 2,  , 2, 1, 2, 2, 1, 5, 2,  , 6, 4, 3, 4, 3, 0, 1, 3, 4, 3, 3, 4, 1, 2, 4, 0, 1, 2, 1,  , 3, 2, 2, 3, 5, 4, 3, 2, 1, 249
E major blues (4#), 2, 1, 3, 1, 2, 5, 1, 4, 1, 4, 3, 3, 3, 3, 2, 4, 2, 1, 3, 0, 1, 3, 0, 0, 5, 5, 1, 3, 3, 2, 1, 5, 1, 0, 0,  , 4, 4, 1, 1, 4, 5, 1, 1, 3, 1, 2, 3, 3, 2, 0,  , 2, 2, 2, 6, 1, 2, 1,  , 2, 2, 1, 2, 2, 3, 1,  , 4, 4, 3, 6, 2, 1, 1, 3, 3, 2, 2, 5, 0, 1, 2, 0, 1, 1, 1,  , 3, 2, 1, 3, 3, 4, 3, 0, 0, 203
F minor blues (4b), 1, 2, 3, 0, 3, 4, 2, 2, 2, 5, 4, 3, 4, 1, 3, 3, 1, 2, 3, 0, 0, 4, 0, 0, 6, 4, 1, 2, 3, 2, 2, 4, 2, 0, 0,  , 5, 2, 2, 2, 3, 4, 1, 2, 3, 1, 2, 3, 2, 2, 0,  , 1, 1, 2, 5, 2, 1, 1,  , 3, 2, 2, 3, 1, 4, 1,  , 5, 2, 4, 5, 3, 0, 2, 2, 3, 2, 2, 3, 1, 2, 2, 0, 0, 1, 1,  , 4, 1, 1, 4, 4, 3, 4, 1, 0, 203
C# minor blues (4#), 2, 5, 3, 1, 6, 6, 4, 4, 4, 4, 4, 5, 3, 1, 6, 3, 2, 5, 3, 1, 2, 6, 1, 0, 2, 6, 3, 2, 5, 5, 3, 6, 2, 0, 2,  , 8, 3, 3, 2, 4, 2, 2, 4, 3, 3, 4, 6, 4, 2, 2,  , 4, 3, 4, 3, 4, 3, 3,  , 3, 2, 3, 3, 2, 5, 3,  , 8, 3, 2, 4, 6, 0, 1, 5, 3, 4, 3, 2, 1, 3, 3, 0, 2, 3, 2,  , 4, 3, 3, 4, 5, 4, 3, 2, 1, 298
Ab dorian (4b), 2, 2, 5, 0, 3, 5, 3, 3, 2, 4, 4, 5, 5, 2, 3, 2, 3, 2, 5, 0, 0, 5, 0, 0, 4, 4, 4, 3, 4, 3, 3, 5, 3, 1, 1,  , 5, 4, 2, 2, 4, 4, 1, 2, 5, 1, 1, 4, 4, 4, 1,  , 1, 3, 2, 4, 4, 1, 1,  , 6, 4, 8, 6, 6, 4, 2,  , 5, 4, 5, 5, 4, 0, 3, 2, 5, 5, 3, 2, 2, 3, 4, 0, 0, 1, 1,  , 6, 1, 1, 6, 4, 2, 5, 2, 0, 277
E dorian (4#), 3, 5, 3, 2, 5, 5, 3, 4, 3, 1, 5, 4, 4, 1, 5, 2, 3, 5, 3, 1, 3, 5, 1, 0, 3, 4, 6, 4, 5, 6, 3, 7, 1, 0, 3,  , 8, 6, 2, 1, 3, 1, 2, 4, 3, 3, 4, 4, 3, 2, 3,  , 4, 4, 4, 2, 4, 3, 4,  , 4, 4, 7, 4, 7, 4, 4,  , 8, 6, 1, 3, 4, 0, 0, 4, 2, 7, 3, 3, 0, 2, 4, 1, 2, 3, 2,  , 4, 3, 3, 4, 4, 6, 2, 1, 1, 309
Ab phrygian (4b), 2, 2, 3, 1, 3, 4, 2, 5, 2, 4, 4, 3, 2, 3, 3, 5, 2, 2, 3, 0, 2, 4, 0, 0, 4, 6, 2, 2, 4, 3, 1, 5, 1, 0, 1,  , 5, 5, 1, 2, 4, 4, 1, 2, 3, 2, 3, 4, 4, 2, 1,  , 3, 3, 3, 5, 2, 3, 2,  , 1, 1, 1, 1, 2, 4, 2,  , 5, 5, 2, 5, 2, 1, 0, 4, 3, 3, 3, 5, 0, 1, 3, 0, 2, 2, 1,  , 2, 3, 2, 2, 4, 5, 2, 1, 1, 235
