 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
G phrygian (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0,  , 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 2:1:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 3:0:0:0:2, 2:2:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 3:0:0:0:0, 2:1:0:0:0, 2:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:2:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 3:2:1:0:1, 1:0:0:0:0, 5:1:0:0:2, 5:1:0:0:2, 2:1:0:0:0, 2:1:0:0:2, 1:0:0:0:0, 3:2:0:0:1, 0:0:0:0:0, 86:22:1:0:26
F lydian (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 35:1:2:0:3
G lydian (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0,  , 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 2:1:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 3:0:0:0:2, 2:2:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 3:0:0:0:0, 2:1:0:0:0, 2:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:2:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 3:2:1:0:1, 1:0:0:0:0, 5:1:0:0:2, 5:1:0:0:2, 2:1:0:0:0, 2:1:0:0:2, 1:0:0:0:0, 3:2:0:0:1, 0:0:0:0:0, 86:22:1:0:26
F mixolydian (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 35:1:2:0:3
G mixolydian (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0,  , 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 2:1:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 3:0:0:0:2, 2:2:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 3:0:0:0:0, 2:1:0:0:0, 2:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:2:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 3:2:1:0:1, 1:0:0:0:0, 5:1:0:0:2, 5:1:0:0:2, 2:1:0:0:0, 2:1:0:0:2, 1:0:0:0:0, 3:2:0:0:1, 0:0:0:0:0, 86:22:1:0:26
F aeolian (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 35:1:2:0:3
G aeolian (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0,  , 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 2:1:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 3:0:0:0:2, 2:2:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 3:0:0:0:0, 2:1:0:0:0, 2:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:2:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 3:2:1:0:1, 1:0:0:0:0, 5:1:0:0:2, 5:1:0:0:2, 2:1:0:0:0, 2:1:0:0:2, 1:0:0:0:0, 3:2:0:0:1, 0:0:0:0:0, 86:22:1:0:26
F locrian (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 35:1:2:0:3
G locrian (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0,  , 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 2:1:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 3:0:0:0:2, 2:2:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 3:0:0:0:0, 2:1:0:0:0, 2:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:2:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 3:2:1:0:1, 1:0:0:0:0, 5:1:0:0:2, 5:1:0:0:2, 2:1:0:0:0, 2:1:0:0:2, 1:0:0:0:0, 3:2:0:0:1, 0:0:0:0:0, 86:22:1:0:26
Bb major (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
D major (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
G minor (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
B minor (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
G minor mel (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
B minor mel (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
Bb major blues (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
D major blues (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
G minor blues (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
B minor blues (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
Bb dorian (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
D dorian (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
Bb phrygian (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
D phrygian (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
Bb lydian (2b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0,  , 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:1:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 4:0:0:0:0, 4:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 38:1:2:0:4
D lydian (2#), 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0,  , 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:1,  , 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 4:1:0:0:1, 2:1:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 4:0:0:0:1, 3:2:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 4:0:0:0:0, 2:1:1:0:1, 3:1:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:2:0:0:1, 1:0:0:0:0, 4:2:0:0:0, 4:2:1:0:1, 1:0:0:0:0, 6:1:0:0:0, 5:0:0:0:1, 2:1:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:0:0:0, 1:0:0:0:0, 118:17:2:0:15
