 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, rowcost
F# phrygian (6#), 3, 3, 5, 2, 3, 3, 1, 1, 3, 3, 5, 2, 3, 4,  , 3, 2, 2, 2, 3, 6, 4, 4, 3, 3, 3, 5, 2, 3, 4, 3, 2, 1, 1, 2, 4, 4, 4, 2, 2, 4, 8, 4, 1, 1, 3, 7, 2, 4, 5, 3,  , 3, 4, 2, 3, 2, 4,  , 1, 2, 5, 1, 4, 2, 3, 6, 3, 3, 2, 2, 1, 2, 4, 2, 4, 5, 5, 4,  , 4, 3, 3, 2, 1, 7, 2, 4, 3, 4, 1, 5, 2, 4, 4, 3, 2, 290
Gb lydian (6b), 0, 4, 2, 6, 0, 0, 0, 0, 0, 4, 2, 6, 0, 4,  , 5, 0, 4, 0, 5, 2, 7, 5, 3, 0, 4, 2, 6, 0, 4, 2, 0, 0, 4, 2, 3, 2, 2, 2, 2, 3, 2, 5, 4, 0, 7, 0, 0, 2, 4, 3,  , 2, 4, 3, 0, 0, 0,  , 4, 0, 3, 0, 0, 3, 2, 0, 2, 2, 4, 0, 0, 0, 3, 2, 2, 5, 3, 0,  , 4, 3, 1, 0, 1, 0, 4, 5, 2, 0, 0, 0, 5, 6, 0, 4, 0, 203
F# lydian (6#), 0, 2, 1, 4, 0, 0, 0, 0, 0, 2, 1, 4, 0, 3,  , 3, 0, 3, 0, 3, 2, 5, 4, 2, 0, 2, 1, 4, 0, 3, 1, 0, 0, 2, 1, 2, 1, 2, 1, 1, 2, 2, 3, 3, 0, 5, 0, 0, 2, 3, 2,  , 2, 4, 2, 0, 0, 0,  , 2, 0, 2, 0, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 4, 2, 0,  , 3, 2, 1, 0, 1, 0, 3, 3, 2, 0, 0, 0, 4, 4, 0, 3, 0, 137
Gb mixolydian (6b), 1, 5, 3, 5, 1, 1, 1, 0, 1, 5, 3, 5, 1, 6,  , 7, 1, 5, 1, 6, 2, 5, 5, 3, 1, 5, 3, 5, 1, 6, 4, 1, 0, 5, 3, 5, 4, 2, 3, 3, 5, 2, 7, 5, 1, 6, 2, 0, 2, 4, 4,  , 1, 4, 2, 2, 0, 2,  , 5, 1, 3, 1, 2, 4, 4, 1, 4, 4, 5, 1, 1, 1, 5, 4, 3, 4, 3, 2,  , 4, 3, 0, 1, 2, 2, 4, 6, 1, 1, 1, 2, 4, 6, 1, 4, 1, 274
F# mixolydian (6#), 1, 3, 2, 3, 1, 1, 1, 0, 1, 3, 2, 3, 1, 5,  , 5, 1, 4, 1, 4, 2, 3, 4, 2, 1, 3, 2, 3, 1, 5, 3, 1, 0, 3, 2, 4, 3, 2, 2, 2, 4, 2, 5, 4, 1, 4, 2, 0, 2, 3, 3,  , 1, 4, 1, 2, 0, 2,  , 3, 1, 2, 1, 2, 3, 3, 1, 3, 3, 3, 1, 1, 1, 4, 3, 2, 3, 2, 2,  , 3, 2, 0, 1, 2, 2, 3, 4, 1, 1, 1, 2, 3, 4, 1, 3, 1, 208
Gb aeolian (6b), 0, 4, 3, 5, 0, 1, 0, 0, 0, 4, 3, 5, 0, 5,  , 6, 0, 5, 0, 6, 1, 6, 6, 4, 0, 4, 3, 5, 0, 5, 3, 0, 0, 4, 3, 4, 3, 3, 2, 2, 4, 3, 6, 5, 0, 6, 1, 0, 3, 3, 3,  , 1, 3, 3, 1, 0, 1,  , 5, 0, 4, 0, 1, 4, 3, 0, 3, 3, 5, 0, 1, 1, 4, 3, 3, 5, 4, 1,  , 5, 2, 1, 0, 1, 1, 5, 6, 2, 1, 0, 1, 4, 7, 1, 5, 0, 240
F# aeolian (6#), 0, 2, 2, 3, 0, 1, 0, 0, 0, 2, 2, 3, 0, 4,  , 4, 0, 4, 0, 4, 1, 4, 5, 3, 0, 2, 2, 3, 0, 4, 2, 0, 0, 2, 2, 3, 2, 3, 1, 1, 3, 3, 4, 4, 0, 4, 1, 0, 3, 2, 2,  , 1, 3, 2, 1, 0, 1,  , 3, 0, 3, 0, 1, 3, 2, 0, 2, 2, 3, 0, 1, 1, 3, 2, 2, 4, 3, 1,  , 4, 1, 1, 0, 1, 1, 4, 4, 2, 1, 0, 1, 3, 5, 1, 4, 0, 174
Gb locrian (6b), 2, 6, 4, 3, 2, 2, 1, 0, 2, 6, 4, 3, 2, 4,  , 8, 1, 3, 1, 6, 3, 6, 5, 4, 2, 6, 4, 3, 2, 4, 5, 1, 0, 3, 4, 5, 5, 2, 3, 3, 6, 2, 8, 5, 1, 4, 3, 1, 2, 5, 5,  , 2, 5, 0, 2, 1, 3,  , 6, 1, 4, 1, 2, 4, 5, 2, 5, 4, 6, 2, 2, 1, 6, 4, 4, 2, 4, 3,  , 4, 4, 1, 1, 2, 3, 2, 7, 1, 2, 1, 2, 2, 4, 2, 2, 2, 295
F# locrian (6#), 2, 4, 3, 2, 2, 2, 1, 0, 2, 4, 3, 2, 2, 4,  , 6, 1, 3, 1, 4, 3, 4, 4, 3, 2, 4, 3, 2, 2, 4, 4, 1, 0, 2, 3, 4, 4, 2, 2, 2, 5, 2, 6, 4, 1, 3, 3, 1, 2, 4, 4,  , 2, 5, 0, 2, 1, 3,  , 4, 1, 3, 1, 2, 3, 4, 2, 4, 3, 4, 2, 2, 1, 5, 3, 3, 2, 3, 3,  , 3, 3, 1, 1, 2, 3, 2, 5, 1, 2, 1, 2, 2, 3, 2, 2, 2, 243
Cb major (7b), 1, 5, 5, 5, 1, 5, 1, 0, 1, 5, 5, 5, 1, 6,  , 9, 1, 5, 1, 10, 3, 5, 7, 4, 1, 5, 5, 5, 1, 6, 5, 1, 0, 5, 4, 9, 5, 3, 3, 3, 6, 3, 8, 4, 1, 7, 3, 0, 4, 5, 4,  , 2, 4, 2, 3, 0, 3,  , 6, 1, 4, 1, 3, 6, 5, 1, 5, 5, 6, 1, 2, 3, 6, 6, 4, 4, 4, 4,  , 5, 3, 0, 1, 2, 6, 5, 7, 1, 5, 1, 3, 5, 8, 2, 5, 1, 348
C# major (7#), 0, 3, 2, 6, 0, 0, 0, 0, 0, 3, 2, 6, 0, 3,  , 4, 0, 3, 0, 3, 2, 5, 4, 2, 0, 3, 2, 6, 0, 3, 1, 0, 0, 3, 1, 2, 1, 2, 2, 2, 2, 2, 4, 4, 0, 5, 0, 0, 2, 3, 2,  , 2, 4, 2, 0, 0, 0,  , 3, 0, 2, 0, 0, 2, 1, 0, 1, 2, 4, 0, 0, 0, 2, 1, 2, 4, 2, 0,  , 5, 2, 1, 0, 1, 0, 3, 3, 2, 0, 0, 0, 4, 4, 0, 3, 0, 162
Ab minor (7b), 1, 3, 1, 4, 1, 2, 1, 1, 1, 3, 1, 4, 1, 7,  , 5, 2, 6, 1, 3, 3, 6, 4, 4, 1, 3, 1, 4, 1, 7, 5, 2, 0, 3, 4, 3, 4, 3, 1, 1, 5, 3, 5, 3, 2, 6, 3, 0, 2, 4, 3,  , 1, 4, 3, 2, 0, 2,  , 3, 2, 3, 1, 2, 3, 5, 2, 5, 2, 4, 1, 1, 1, 6, 3, 3, 5, 4, 2,  , 3, 3, 1, 1, 3, 2, 4, 6, 1, 1, 1, 3, 4, 8, 1, 5, 1, 262
A# minor (7#), 0, 2, 2, 4, 0, 0, 0, 1, 0, 2, 2, 4, 0, 1,  , 2, 0, 1, 0, 3, 2, 6, 7, 2, 0, 2, 2, 4, 0, 1, 0, 0, 0, 2, 0, 2, 0, 3, 2, 2, 0, 3, 2, 4, 0, 2, 0, 0, 4, 5, 2,  , 3, 5, 3, 1, 0, 0,  , 2, 0, 2, 0, 0, 3, 0, 0, 0, 2, 3, 0, 0, 0, 2, 2, 2, 2, 2, 0,  , 7, 4, 2, 0, 2, 0, 3, 3, 2, 0, 0, 0, 2, 7, 0, 2, 0, 151
Ab minor mel (7b), 0, 2, 1, 4, 0, 2, 0, 1, 0, 2, 1, 4, 0, 6,  , 4, 1, 6, 0, 3, 2, 7, 5, 5, 0, 2, 1, 4, 0, 6, 4, 1, 0, 2, 4, 2, 3, 4, 0, 0, 4, 4, 4, 3, 1, 6, 2, 0, 3, 3, 2,  , 1, 3, 4, 1, 0, 1,  , 3, 1, 4, 0, 1, 3, 4, 1, 4, 1, 4, 0, 1, 1, 5, 2, 3, 6, 5, 1,  , 4, 2, 2, 0, 2, 1, 5, 6, 2, 1, 0, 2, 4, 9, 1, 6, 0, 228
A# minor mel (7#), 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2,  , 0, 1, 2, 0, 3, 3, 7, 7, 3, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 2, 0, 4, 0, 0, 0, 4, 0, 2, 1, 2, 1, 0, 4, 6, 3,  , 3, 5, 4, 1, 0, 0,  , 0, 1, 2, 0, 0, 3, 1, 1, 1, 0, 1, 0, 0, 0, 3, 2, 3, 3, 3, 0,  , 5, 5, 3, 0, 3, 0, 3, 4, 2, 0, 0, 1, 2, 8, 0, 3, 0, 147
Cb major blues (7b), 2, 7, 7, 5, 2, 6, 1, 0, 2, 7, 7, 5, 2, 6,  , 10, 1, 6, 2, 10, 5, 8, 9, 7, 2, 7, 7, 5, 2, 6, 6, 2, 0, 5, 6, 9, 6, 5, 3, 3, 7, 5, 9, 5, 1, 7, 5, 1, 6, 6, 5,  , 4, 5, 3, 4, 1, 4,  , 7, 2, 7, 1, 4, 6, 7, 3, 7, 5, 8, 2, 3, 4, 8, 6, 6, 6, 7, 6,  , 7, 4, 3, 2, 2, 8, 6, 9, 3, 7, 1, 3, 6, 10, 4, 7, 2, 458
C# major blues (7#), 0, 4, 2, 6, 0, 0, 0, 0, 0, 4, 2, 6, 0, 4,  , 5, 0, 4, 0, 5, 2, 7, 5, 3, 0, 4, 2, 6, 0, 4, 2, 0, 0, 4, 2, 3, 2, 2, 2, 2, 3, 2, 5, 4, 0, 7, 0, 0, 2, 4, 3,  , 2, 4, 3, 0, 0, 0,  , 4, 0, 3, 0, 0, 3, 2, 0, 2, 2, 4, 0, 0, 0, 3, 2, 2, 5, 3, 0,  , 4, 3, 1, 0, 1, 0, 4, 5, 2, 0, 0, 0, 5, 6, 0, 4, 0, 203
Ab minor blues (7b), 0, 2, 1, 4, 0, 0, 0, 0, 0, 2, 1, 4, 0, 3,  , 3, 0, 3, 0, 3, 2, 5, 4, 2, 0, 2, 1, 4, 0, 3, 1, 0, 0, 2, 1, 2, 1, 2, 1, 1, 2, 2, 3, 3, 0, 5, 0, 0, 2, 3, 2,  , 2, 4, 2, 0, 0, 0,  , 2, 0, 2, 0, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 4, 2, 0,  , 3, 2, 1, 0, 1, 0, 3, 3, 2, 0, 0, 0, 4, 4, 0, 3, 0, 137
A# minor blues (7#), 1, 5, 3, 5, 1, 1, 1, 0, 1, 5, 3, 5, 1, 6,  , 7, 1, 5, 1, 6, 2, 5, 5, 3, 1, 5, 3, 5, 1, 6, 4, 1, 0, 5, 3, 5, 4, 2, 3, 3, 5, 2, 7, 5, 1, 6, 2, 0, 2, 4, 4,  , 1, 4, 2, 2, 0, 2,  , 5, 1, 3, 1, 2, 4, 4, 1, 4, 4, 5, 1, 1, 1, 5, 4, 3, 4, 3, 2,  , 4, 3, 0, 1, 2, 2, 4, 6, 1, 1, 1, 2, 4, 6, 1, 4, 1, 274
Cb dorian (7b), 1, 3, 2, 3, 1, 1, 1, 0, 1, 3, 2, 3, 1, 5,  , 5, 1, 4, 1, 4, 2, 3, 4, 2, 1, 3, 2, 3, 1, 5, 3, 1, 0, 3, 2, 4, 3, 2, 2, 2, 4, 2, 5, 4, 1, 4, 2, 0, 2, 3, 3,  , 1, 4, 1, 2, 0, 2,  , 3, 1, 2, 1, 2, 3, 3, 1, 3, 3, 3, 1, 1, 1, 4, 3, 2, 3, 2, 2,  , 3, 2, 0, 1, 2, 2, 3, 4, 1, 1, 1, 2, 3, 4, 1, 3, 1, 208
C# dorian (7#), 0, 4, 3, 5, 0, 1, 0, 0, 0, 4, 3, 5, 0, 5,  , 6, 0, 5, 0, 6, 1, 6, 6, 4, 0, 4, 3, 5, 0, 5, 3, 0, 0, 4, 3, 4, 3, 3, 2, 2, 4, 3, 6, 5, 0, 6, 1, 0, 3, 3, 3,  , 1, 3, 3, 1, 0, 1,  , 5, 0, 4, 0, 1, 4, 3, 0, 3, 3, 5, 0, 1, 1, 4, 3, 3, 5, 4, 1,  , 5, 2, 1, 0, 1, 1, 5, 6, 2, 1, 0, 1, 4, 7, 1, 5, 0, 240
Cb phrygian (7b), 0, 2, 2, 3, 0, 1, 0, 0, 0, 2, 2, 3, 0, 4,  , 4, 0, 4, 0, 4, 1, 4, 5, 3, 0, 2, 2, 3, 0, 4, 2, 0, 0, 2, 2, 3, 2, 3, 1, 1, 3, 3, 4, 4, 0, 4, 1, 0, 3, 2, 2,  , 1, 3, 2, 1, 0, 1,  , 3, 0, 3, 0, 1, 3, 2, 0, 2, 2, 3, 0, 1, 1, 3, 2, 2, 4, 3, 1,  , 4, 1, 1, 0, 1, 1, 4, 4, 2, 1, 0, 1, 3, 5, 1, 4, 0, 174
C# phrygian (7#), 2, 6, 4, 3, 2, 2, 1, 0, 2, 6, 4, 3, 2, 4,  , 8, 1, 3, 1, 6, 3, 6, 5, 4, 2, 6, 4, 3, 2, 4, 5, 1, 0, 3, 4, 5, 5, 2, 3, 3, 6, 2, 8, 5, 1, 4, 3, 1, 2, 5, 5,  , 2, 5, 0, 2, 1, 3,  , 6, 1, 4, 1, 2, 4, 5, 2, 5, 4, 6, 2, 2, 1, 6, 4, 4, 2, 4, 3,  , 4, 4, 1, 1, 2, 3, 2, 7, 1, 2, 1, 2, 2, 4, 2, 2, 2, 295
Cb lydian (7b), 2, 4, 3, 2, 2, 2, 1, 0, 2, 4, 3, 2, 2, 4,  , 6, 1, 3, 1, 4, 3, 4, 4, 3, 2, 4, 3, 2, 2, 4, 4, 1, 0, 2, 3, 4, 4, 2, 2, 2, 5, 2, 6, 4, 1, 3, 3, 1, 2, 4, 4,  , 2, 5, 0, 2, 1, 3,  , 4, 1, 3, 1, 2, 3, 4, 2, 4, 3, 4, 2, 2, 1, 5, 3, 3, 2, 3, 3,  , 3, 3, 1, 1, 2, 3, 2, 5, 1, 2, 1, 2, 2, 3, 2, 2, 2, 243
C# lydian (7#), 1, 5, 5, 5, 1, 5, 1, 0, 1, 5, 5, 5, 1, 6,  , 9, 1, 5, 1, 10, 3, 5, 7, 4, 1, 5, 5, 5, 1, 6, 5, 1, 0, 5, 4, 9, 5, 3, 3, 3, 6, 3, 8, 4, 1, 7, 3, 0, 4, 5, 4,  , 2, 4, 2, 3, 0, 3,  , 6, 1, 4, 1, 3, 6, 5, 1, 5, 5, 6, 1, 2, 3, 6, 6, 4, 4, 4, 4,  , 5, 3, 0, 1, 2, 6, 5, 7, 1, 5, 1, 3, 5, 8, 2, 5, 1, 348
Cb mixolydian (7b), 0, 3, 2, 6, 0, 0, 0, 0, 0, 3, 2, 6, 0, 3,  , 4, 0, 3, 0, 3, 2, 5, 4, 2, 0, 3, 2, 6, 0, 3, 1, 0, 0, 3, 1, 2, 1, 2, 2, 2, 2, 2, 4, 4, 0, 5, 0, 0, 2, 3, 2,  , 2, 4, 2, 0, 0, 0,  , 3, 0, 2, 0, 0, 2, 1, 0, 1, 2, 4, 0, 0, 0, 2, 1, 2, 4, 2, 0,  , 5, 2, 1, 0, 1, 0, 3, 3, 2, 0, 0, 0, 4, 4, 0, 3, 0, 162
C# mixolydian (7#), 1, 3, 1, 4, 1, 2, 1, 1, 1, 3, 1, 4, 1, 7,  , 5, 2, 6, 1, 3, 3, 6, 4, 4, 1, 3, 1, 4, 1, 7, 5, 2, 0, 3, 4, 3, 4, 3, 1, 1, 5, 3, 5, 3, 2, 6, 3, 0, 2, 4, 3,  , 1, 4, 3, 2, 0, 2,  , 3, 2, 3, 1, 2, 3, 5, 2, 5, 2, 4, 1, 1, 1, 6, 3, 3, 5, 4, 2,  , 3, 3, 1, 1, 3, 2, 4, 6, 1, 1, 1, 3, 4, 8, 1, 5, 1, 262
Cb aeolian (7b), 0, 2, 2, 4, 0, 0, 0, 1, 0, 2, 2, 4, 0, 1,  , 2, 0, 1, 0, 3, 2, 6, 7, 2, 0, 2, 2, 4, 0, 1, 0, 0, 0, 2, 0, 2, 0, 3, 2, 2, 0, 3, 2, 4, 0, 2, 0, 0, 4, 5, 2,  , 3, 5, 3, 1, 0, 0,  , 2, 0, 2, 0, 0, 3, 0, 0, 0, 2, 3, 0, 0, 0, 2, 2, 2, 2, 2, 0,  , 7, 4, 2, 0, 2, 0, 3, 3, 2, 0, 0, 0, 2, 7, 0, 2, 0, 151
C# aeolian (7#), 0, 2, 1, 4, 0, 2, 0, 1, 0, 2, 1, 4, 0, 6,  , 4, 1, 6, 0, 3, 2, 7, 5, 5, 0, 2, 1, 4, 0, 6, 4, 1, 0, 2, 4, 2, 3, 4, 0, 0, 4, 4, 4, 3, 1, 6, 2, 0, 3, 3, 2,  , 1, 3, 4, 1, 0, 1,  , 3, 1, 4, 0, 1, 3, 4, 1, 4, 1, 4, 0, 1, 1, 5, 2, 3, 6, 5, 1,  , 4, 2, 2, 0, 2, 1, 5, 6, 2, 1, 0, 2, 4, 9, 1, 6, 0, 228
Cb locrian (7b), 2, 7, 7, 3, 2, 6, 1, 0, 2, 7, 7, 3, 2, 4,  , 10, 1, 4, 2, 8, 5, 7, 8, 6, 2, 7, 7, 3, 2, 4, 6, 2, 0, 3, 6, 7, 6, 4, 3, 3, 7, 4, 9, 5, 1, 5, 5, 1, 5, 4, 3,  , 4, 5, 0, 4, 1, 4,  , 7, 2, 6, 1, 4, 4, 7, 3, 7, 5, 8, 2, 3, 4, 8, 4, 6, 3, 6, 6,  , 6, 2, 2, 2, 2, 8, 3, 9, 2, 7, 1, 3, 4, 7, 4, 4, 2, 400
C# locrian (7#), 2, 7, 7, 5, 2, 6, 1, 0, 2, 7, 7, 5, 2, 6,  , 10, 1, 6, 2, 10, 5, 8, 9, 7, 2, 7, 7, 5, 2, 6, 6, 2, 0, 5, 6, 9, 6, 5, 3, 3, 7, 5, 9, 5, 1, 7, 5, 1, 6, 6, 5,  , 4, 5, 3, 4, 1, 4,  , 7, 2, 7, 1, 4, 6, 7, 3, 7, 5, 8, 2, 3, 4, 8, 6, 6, 6, 7, 6,  , 7, 4, 3, 2, 2, 8, 6, 9, 3, 7, 1, 3, 6, 10, 4, 7, 2, 458
